GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ChillDev Commons Web,pl.chilldev.commons.web.filter,FrontPageFilter.FrontHttpServletResponse,0,67,0,10,0,17,0,7,0,2
ChillDev Commons Web,pl.chilldev.commons.web.filter,FrontPageFilter,0,122,0,14,0,29,0,13,0,6
ChillDev Commons Web,pl.chilldev.commons.web.context,WebApplicationContextLoader,0,45,0,2,0,12,0,5,0,4
ChillDev Commons Web,pl.chilldev.commons.web.daemon,AbstractSpringWebDaemon,0,50,0,2,0,15,0,5,0,4
ChillDev Commons Web,pl.chilldev.commons.web.daemon,AbstractWebDaemon,0,52,0,2,0,19,0,4,0,3
