GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ChillDev Commons Web/commons-daemon,pl.chilldev.commons.daemon.lifecycle,Runner,0,42,0,0,0,11,0,2,0,2
ChillDev Commons Web/commons-daemon,pl.chilldev.commons.daemon.lifecycle,Shutdown,0,30,0,0,0,11,0,2,0,2
ChillDev Commons Web/commons-daemon,pl.chilldev.commons.daemon,Package,0,54,0,4,0,19,0,8,0,6
ChillDev Commons Web/commons-daemon,pl.chilldev.commons.daemon,AbstractDaemon,0,73,0,0,0,20,0,4,0,4
