GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ChillDev Commons Collections,pl.chilldev.commons.collections.pageable,PageableCollection,0,21,0,0,0,5,0,2,0,2
ChillDev Commons Collections,pl.chilldev.commons.collections.pageable,PageableIterator,0,47,0,6,0,11,0,7,0,4
