GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WrzasqPl Commons Client,pl.wrzasq.commons.client,XRayFeature.Config,7,14,0,0,0,2,1,2,1,2
WrzasqPl Commons Client,pl.wrzasq.commons.client,XRayFeature.Feature,2,48,0,0,1,5,1,2,1,2
WrzasqPl Commons Client,pl.wrzasq.commons.client,XRayFeature.Feature.install.new Function3() {...},0,28,0,0,0,5,0,1,0,1
WrzasqPl Commons Client,pl.wrzasq.commons.client,XRayFeature.Feature.install.new Function3() {...},0,33,0,0,0,5,0,1,0,1
WrzasqPl Commons Client,pl.wrzasq.commons.client,XRayFeature,0,178,0,13,0,28,0,11,0,4
