GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ChillDev Commons JSON-RPC/commons-daemon,pl.chilldev.commons.daemon.lifecycle,Runner,0,42,0,0,0,11,0,2,0,2
ChillDev Commons JSON-RPC/commons-daemon,pl.chilldev.commons.daemon.lifecycle,Shutdown,0,30,0,0,0,11,0,2,0,2
ChillDev Commons JSON-RPC/commons-daemon,pl.chilldev.commons.daemon,Package,15,76,4,8,0,19,4,8,0,6
